"Income statement for municipalities, SEK thousands by region, Income statement and year"

"region","Income statement","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"0114 Upplands Väsby","Total income for operations",313859,320220,336174,336141,323270,326945,338661,294027,316172,306945,361300,389718,416746,417300,471479,535209,456069,481597,583319,679812,647216,761770,821974,695537,712874
"0114 Upplands Väsby","Total costs for operations",-1141598,-1203938,-1252714,-1350430,-1394331,-1425350,-1436221,-1482268,-1566955,-1623179,-1746549,-1854744,-1942999,-2017437,-2118627,-2151509,-2243467,-2334378,-2569542,-2763185,-2855518,-2991574,-3141144,-3196316,-3427886
"0114 Upplands Väsby","Total net current costs",-889629,-952527,-985316,-1087250,-1141651,-1173078,-1173210,-1262964,-1328907,-1402491,-1461799,-1513151,-1579928,-1655076,-1707148,-1727400,-1860350,-2030832,-2075700,-2192740,-2325264,-2362143,-2445112,-2628115,-2847551
"0114 Upplands Väsby","Tax revenues",897383,949536,1030710,1114591,1187046,1261155,1261098,1261400,1316730,1360552,1406765,1410636,1427449,1478506,1527012,1591627,1647867,1754223,1853785,1944788,1994208,2076660,2084321,2235203,2389181
"0114 Upplands Väsby","General grants and equalisation grants",45111,45305,20248,-15154,-44613,-85979,-78680,11879,35619,85153,96393,102007,183459,212964,219247,234573,250406,227687,256824,326711,342292,378413,570439,571510,575662
"0114 Upplands Väsby","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92930,209648,178598,117292
"0114 Upplands Väsby","Financial income",9670,8207,9816,11459,5771,3533,3238,3321,3442,5120,5688,14187,15243,5528,5600,10300,7446,722013,42037,13674,15774,12433,12648,11322,13772
"0114 Upplands Väsby","Financial costs",-41173,-28586,-18677,-9656,-3861,-3066,-955,-341,-302,-289,-416,-1549,-3547,-25895,-18135,-49200,-10947,-10636,-1709,-33842,-6395,-8895,-54188,-11073,-18897
"0114 Upplands Väsby","Net profit/loss after financial items",20682,20687,55696,13530,1911,1630,10162,11975,24921,45519,43275,6109,40110,16027,26576,59900,34422,662455,75237,58592,20615,96468,168107,178847,112167
"0114 Upplands Väsby","Net profit/loss for the year",20682,20687,217750,182039,-10089,1630,10162,11975,24921,45519,43275,6109,40110,16027,26576,59900,34422,662455,75237,58592,20615,96468,168107,178847,112167
"0115 Vallentuna","Total income for operations",162613,164798,171558,179646,208790,231676,216693,221129,228093,217527,231003,252286,331647,261916,303075,306329,305914,355443,428577,395531,385651,393154,455891,438103,447613
"0115 Vallentuna","Total costs for operations",-693766,-729110,-768233,-832461,-917257,-969840,-978589,-1048623,-1137722,-1210728,-1305322,-1388214,-1462140,-1510901,-1605515,-1648987,-1712948,-1788009,-1959142,-2425271,-2041000,-2087249,-2169462,-2170682,-2198893
"0115 Vallentuna","Total net current costs",-575147,-611049,-645594,-703250,-764307,-800315,-827716,-890755,-973614,-1060123,-1134599,-1175271,-1174415,-1293468,-1351463,-1398113,-1465859,-1495015,-1592843,-2096988,-1726813,-1778222,-1808845,-1816545,-1839766
"0115 Vallentuna","Tax revenues",512948,548353,597658,646055,696688,786840,824049,839572,894660,957991,1010584,1039696,1071050,1146873,1190202,1260868,1317230,1388555,1477231,1543926,1590785,1650856,1660677,1751993,1887604
"0115 Vallentuna","General grants and equalisation grants",65610,61144,52834,49140,34127,18025,17402,90079,120769,116554,148049,160263,194128,193703,203761,187305,172394,167271,174717,172779,189141,210962,299998,300450,241753
"0115 Vallentuna","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83596,151831,235898,289591
"0115 Vallentuna","Financial income",2830,2990,6061,3827,4907,3044,2230,2762,4978,8562,11104,8567,3529,2090,3194,3090,2822,3713,2442,67499,2121,1949,1498,950,9362
"0115 Vallentuna","Financial costs",-4336,-3657,-2585,-2550,-9608,-11423,-7900,-3988,-934,-52,-183,-262,-825,-16850,-15064,-25975,-13344,-13630,-10741,-26429,-21211,-19636,-14419,-26317,-83302
"0115 Vallentuna","Net profit/loss after financial items",1637,-2909,6840,-7471,-38502,-4543,7186,36940,44637,21866,32941,29463,92252,32348,30630,27175,13243,50893,50806,-339214,34023,65909,138910,210532,215651
"0115 Vallentuna","Net profit/loss for the year",1637,-2909,75304,-7471,-38502,-4543,42071,36940,118754,21866,32941,29463,92252,32348,30630,27175,13243,50893,50806,-339214,34023,65909,138910,210532,215651
"0117 Österåker","Total income for operations",135658,173495,143858,153604,183318,174883,208672,220795,234562,247845,256082,274980,274242,283007,308580,328489,303958,335909,441685,461866,396182,420929,568515,447440,456185
"0117 Österåker","Total costs for operations",-943541,-1004521,-1044100,-1129793,-1228043,-1299071,-1346444,-1428065,-1491726,-1597028,-1710968,-1759517,-1773843,-1823754,-1898802,-2008164,-2063787,-2199634,-2400664,-2429526,-2528461,-2598050,-2662959,-2760237,-2884104
"0117 Österåker","Total net current costs",-836791,-864236,-936224,-1018344,-1088926,-1170960,-1186810,-1258361,-1306879,-1404370,-1525597,-1531356,-1544157,-1582203,-1631777,-1712342,-1795947,-1902130,-1998275,-2009030,-2171377,-2216420,-2127275,-2353379,-2523845
"0117 Österåker","Tax revenues",796805,853275,926706,1045438,1128879,1238585,1239117,1232124,1294309,1362595,1452163,1484724,1519347,1558708,1622559,1666616,1712880,1806255,1855318,1893890,1911242,1973236,1997829,2121734,2270658
"0117 Österåker","General grants and equalisation grants",33576,13678,-3990,-23187,-44269,-55050,-37564,57763,61900,78451,52636,75868,147275,150278,144798,157788,159219,160852,190643,247441,228804,239175,362202,440116,450887
"0117 Österåker","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-4009,232756,208471,197700
"0117 Österåker","Financial income",2744,2573,2484,2267,1987,14899,13178,12763,13252,12053,13457,10283,2515,10940,11154,12364,17956,17773,23347,19662,51547,74183,23607,78892,66552
"0117 Österåker","Financial costs",-11864,-12368,-7093,-8007,-9537,-8553,-6208,-4816,-3815,-4303,-6512,-3665,-1516,-10537,-3990,-14394,-1474,-5955,-4112,-4150,-16275,-2573,-35643,-20740,-206440
"0117 Österåker","Net profit/loss after financial items",-16383,-8388,-19557,-3986,-12944,17909,20538,38432,57995,42926,-15653,32897,122170,127186,142744,110032,92634,76795,66921,147813,3941,67601,220721,266623,57812
"0117 Österåker","Net profit/loss for the year",-16383,-8388,-19557,-3986,117056,17909,20538,38432,57995,42926,-15653,32897,122170,127186,142744,110032,92634,76795,66921,147813,3941,67601,220721,266623,57812
"0120 Värmdö","Total income for operations",214929,217848,241515,260865,305916,349611,349306,381371,424928,462860,462007,581202,580290,570290,660264,674301,651955,708996,792763,790209,778975,867647,853455,899162,906075
"0120 Värmdö","Total costs for operations",-860946,-942669,-1026793,-1125472,-1253988,-1345469,-1453291,-1519013,-1669290,-1767654,-1871505,-2022994,-2126276,-2152282,-2260787,-2298652,-2432463,-2521769,-2674806,-2799896,-2969797,-3034121,-3004260,-3138296,-3296078
"0120 Värmdö","Total net current costs",-672588,-760681,-823710,-904488,-991049,-1046384,-1157125,-1196313,-1308809,-1371433,-1492050,-1485758,-1610527,-1650228,-1681403,-1708506,-1862833,-1903447,-1977873,-2119353,-2304731,-2302693,-2302233,-2404225,-2561828
"0120 Värmdö","Tax revenues",599374,658937,741391,851788,959796,1068499,1114390,1135485,1203552,1281891,1392106,1449483,1499047,1582873,1643476,1727482,1770058,1860795,1975133,2014083,2061747,2150109,2209274,2382379,2525893
"0120 Värmdö","General grants and equalisation grants",75678,75833,59504,42741,31554,-7971,-17663,64268,98896,129792,146095,127022,161970,153046,157979,161664,173574,166998,183413,197712,257789,268878,302347,263324,264011
"0120 Värmdö","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,116294,209388,241478,228076
"0120 Värmdö","Financial income",13084,8855,9714,9519,12465,10200,7527,6373,6104,9095,13538,9179,30593,7156,7336,7560,6742,5867,5992,5654,5968,5037,4149,2471,5149
"0120 Värmdö","Financial costs",-9126,-2084,-1507,-684,-1384,-707,-500,-629,-500,-2519,-2460,-1045,-31454,-54147,-46401,-64030,-38136,-30154,-29490,-34247,-25164,-27198,-24190,-16849,-30925
"0120 Värmdö","Net profit/loss after financial items",6122,-19931,-15688,-2941,9777,21862,-54290,8152,-2027,44895,54500,93863,47075,38700,80987,124170,49405,100059,157175,63849,-4391,94133,189347,227100,202300
"0120 Värmdö","Net profit/loss for the year",-37434,-19931,-13638,-7421,9777,21862,-54290,8152,-1985,44895,54500,93863,49448,38700,80987,124170,49405,100059,157175,63849,-4391,94133,189347,227100,202300
"0123 Järfälla","Total income for operations",420013,439397,452233,476784,513712,577677,616013,751126,672369,664854,684264,765517,764566,731596,922656,972243,918411,1034393,1367961,1148999,1221300,1721037,1402991,1655284,1735448
"0123 Järfälla","Total costs for operations",-1860438,-1894558,-1914879,-2081457,-2161761,-2312148,-2395656,-2464385,-2602481,-2746376,-2902000,-3152058,-3288564,-3440339,-3608064,-3680200,-3818270,-4058211,-4445324,-4597682,-4848700,-5327845,-5273913,-5494174,-5939336
"0123 Järfälla","Total net current costs",-1553654,-1575412,-1630577,-1740664,-1818533,-1864890,-1914825,-1850651,-2063099,-2256373,-2380801,-2490844,-2642553,-2831646,-2822898,-2866657,-3045019,-3171329,-3256182,-3649878,-3864100,-3865439,-4154451,-4146895,-4547031
"0123 Järfälla","Tax revenues",1470174,1565277,1679023,1826053,1910617,2058207,2095766,2104234,2212615,2263158,2357431,2349679,2384305,2487684,2569247,2699002,2778535,2900931,3068335,3213556,3348524,3503137,3560846,3827263,4054849
"0123 Järfälla","General grants and equalisation grants",29869,7919,-32690,-84788,-98449,-154157,-160624,-82801,-53870,22138,63916,151379,298438,328227,377054,440655,464225,485954,599765,682727,708654,776073,991900,972563,1084801
"0123 Järfälla","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,413771,398295,652931,592619
"0123 Järfälla","Financial income",38367,44889,45700,29339,25563,59239,39398,38417,49265,39267,34500,54335,39155,30527,30248,34412,237522,48764,24914,33972,15200,20045,20856,21667,58646
"0123 Järfälla","Financial costs",-28963,-24369,-23700,-23133,-30789,-34099,-18555,-15098,-13442,-14580,-45600,-16499,-18684,-58842,-55157,-79225,-50084,-54677,-38623,-31135,-48700,-48081,-40466,-80128,-159516
"0123 Järfälla","Net profit/loss after financial items",-46365,15415,34956,4837,-14369,61843,38429,191737,128877,50081,24746,39711,57865,-44050,98494,228187,385179,209643,398209,249242,159578,385735,378685,594471,491749
"0123 Järfälla","Net profit/loss for the year",-46365,15415,34956,4837,-14369,61843,38429,191737,128877,50081,24746,39711,57865,-44050,98494,228187,385179,209643,398209,72242,159578,385735,378685,62399,491749
"0125 Ekerö","Total income for operations",134536,147185,154297,155729,180793,183340,195098,203991,219928,211201,219469,218056,279000,270273,260154,271560,230833,257518,333944,307424,348601,329608,400604,313817,394916
"0125 Ekerö","Total costs for operations",-675910,-708068,-722161,-770983,-845041,-902355,-925463,-973732,-1048513,-1104120,-1171522,-1221174,-1287639,-1346719,-1395778,-1431869,-1470026,-1541606,-1661763,-1751171,-1846111,-1927794,-2007591,-2009858,-2155002
"0125 Ekerö","Total net current costs",-573917,-593274,-601277,-649874,-702915,-762970,-779705,-824667,-888838,-954776,-1015186,-1046252,-1053720,-1124374,-1184049,-1209289,-1287847,-1334500,-1391544,-1513096,-1571205,-1672917,-1686733,-1784427,-1847567
"0125 Ekerö","Tax revenues",535844,569827,625787,676364,733002,821826,790958,808830,864137,918079,974186,1007781,1025764,1068287,1123732,1177346,1227973,1288178,1363309,1482745,1498044,1542270,1626146,1644688,1753882
"0125 Ekerö","General grants and equalisation grants",21405,14587,3246,-5187,-21337,-46079,-2319,43762,57189,75718,83235,86239,123289,116920,107905,105125,110630,102654,94914,63873,102797,159510,166487,245214,190277
"0125 Ekerö","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28863,105900,105475,96592
"0125 Ekerö","Financial income",5788,8673,781,710,721,503,589,526,505,954,1391,1834,1183,2389,2052,11953,13905,9991,26415,2403,2157,1921,13993,13822,3424
"0125 Ekerö","Financial costs",-17219,-16141,-15243,-14066,-16042,-15315,-18904,-18563,-18874,-20419,-20436,-21809,-21904,-26020,-25898,-33395,-17851,-14323,-13127,-15223,-15153,-14405,-28197,-20290,-11643
"0125 Ekerö","Net profit/loss after financial items",-28394,-16974,12359,6703,-7929,-3556,-10234,9040,13307,18033,20974,23924,72813,37202,23742,51740,46810,52000,79967,20702,16640,16379,91696,99007,88373
"0125 Ekerö","Net profit/loss for the year",-27349,51776,12359,6703,-7929,-3556,-10234,9040,13307,18033,20974,23924,72813,37202,23742,51740,46810,52000,79967,20702,16640,16379,91696,99007,88373
"0126 Huddinge","Total income for operations",448407,459207,472862,502392,566927,652263,667904,669675,715249,804550,785075,755679,797194,892461,880731,961624,981055,1160844,1306039,1408301,1282082,1262128,1452946,1462983,1543548
"0126 Huddinge","Total costs for operations",-2511305,-2729561,-2846008,-3012722,-3300804,-3490600,-3686953,-3742081,-3896231,-4131068,-4428679,-4727085,-4794009,-5018479,-5244651,-5526510,-5696136,-6088524,-6558090,-6757654,-6950005,-7124428,-7283371,-7521064,-7766276
"0126 Huddinge","Total net current costs",-2100641,-2329693,-2456635,-2594346,-2825374,-2928920,-3119132,-3186636,-3293156,-3478052,-3790144,-4028142,-4055329,-4190664,-4436634,-4649125,-4806635,-5028374,-5364955,-5475820,-5799941,-6003071,-6006712,-6240552,-6416981
"0126 Huddinge","Tax revenues",1813549,1954786,2140056,2332987,2522094,2795951,2870494,2889651,3040052,3154265,3317135,3359578,3451285,3629548,3777796,3963338,4079118,4313414,4548023,4800378,4939118,5159085,5249574,5599578,5876220
